address,latitude,longitude,name,number,street1,street2,cluster1,cluster2,cluster
George St / Adelaide St,-27.469902,153.022603,28 - GEORGE ST / ADELAIDE ST,28,George St,Adelaide St,10.0,4.0,4.0
George St / Ann St,-27.469075,153.021808,29 - GEORGE STREET / ANN STREET,29,George St,Ann St,10.0,6.0,11.0
Roma St / Ann St,-27.467963,153.0231,30 - ROMA ST / ANN ST,30,Roma St,Ann St,0.0,6.0,11.0
Roma St / Turbot St,-27.467464,153.022094,31 - ROMA ST / TURBOT ST,31,Roma St,Turbot St,0.0,19.0,5.0
Tank St / George St,-27.468678,153.019801,32 - TANK ST / GEORGE ST,32,Tank St,George St,8.0,10.0,10.0
Roma St / Herschel St,-27.466753,153.020012,33 - ROMA ST / HERSCHEL ST,33,Roma St,Herschel St,0.0,8.0,18.0
Makerston St / Roma St,-27.467037,153.018471,34 - MAKERSTON ST / ROMA ST,34,Makerston St,Roma St,8.0,0.0,18.0
Roma St / Makerston St,-27.46637,153.018506,35 - ROMA STREET / MAKERSTON STREET,35,Roma St,Makerston St,0.0,8.0,18.0
Roma St / Garrick St,-27.466307,153.017351,36 - ROMA STREET / GARRICK STREET,36,Roma St,Garrick St,0.0,8.0,18.0
Upper Roma St / Eagle Tce,-27.466032,153.01476,37 - UPPER ROMA ST / EAGLE TCE,37,Upper Roma St,Eagle Tce,0.0,8.0,18.0
38 - Ann St / Creek St,-27.46588,153.026861,38 - ANN ST / CREEK ST,38,38 - Ann St,Creek St,6.0,8.0,8.0
Turbot St / Wickham Tce,-27.464628,153.026863,39 - TURBOT ST / WICKHAM TCE,39,Turbot St,Wickham Tce,19.0,2.0,5.0
Ann St / Creek St,-27.464986,153.027679,40 - ANN STREET / CREEK STREET,40,Ann St,Creek St,6.0,8.0,11.0
Ann St / Wharf St,-27.46383,153.029125,41 - ANN ST / WHARF ST,41,Ann St,Wharf St,6.0,23.0,23.0
Wharf St / Adelaide St,-27.464647,153.029361,42 - WHARF STREET / ADELAIDE STREET,42,Wharf St,Adelaide St,23.0,4.0,4.0
Queen St / Wharf St,-27.465043,153.030991,43 - QUEEN ST / WHARF ST,43,Queen St,Wharf St,5.0,23.0,4.0
Queen St / Adelaide St,-27.463405,153.031142,44 - QUEEN STREET / ADELAIDE STREET,44,Queen St,Adelaide St,5.0,4.0,4.0
Turbot St / Bowen St,-27.462665,153.029087,45 - TURBOT ST / BOWEN ST,45,Turbot St,Bowen St,19.0,8.0,8.0
Ann St / Boundary St,-27.461984,153.031782,46 - ANN ST / BOUNDARY ST,46,Ann St,Boundary St,6.0,22.0,27.0
Turbot St / Barry Pde,-27.46123,153.031077,47 - TURBOT ST / BARRY PDE,47,Turbot St,Barry Pde,19.0,8.0,18.0
Ann St / Gotha St,-27.46048,153.032768,48 - ANN ST / GOTHA ST,48,Ann St,Gotha St,6.0,8.0,5.0
Ann St / Gipps St,-27.459833,153.033445,49 - ANN STREET / GIPPS STREET,49,Ann St,Gipps St,6.0,8.0,11.0
Gipps St / Wickham St,-27.458641,153.03208,50 - GIPPS ST / WICKHAM ST,50,Gipps St,Wickham St,8.0,2.0,5.0
Brunswick St / Alfred St,-27.45663,153.032779,51 - BRUNSWICK ST / ALFRED ST,51,Brunswick St,Alfred St,16.0,8.0,5.0
Brunswick St Mall / Wickham St,-27.457512,153.033841,52 - BRUNSWICK ST MALL / WICKHAM ST,52,Brunswick St Mall,Wickham St,16.0,2.0,5.0
Bowen Tce / Bradfield Hwy,-27.461803,153.036021,53 - BOWEN TCE / BRADFIELD HWY,53,Bowen Tce,Bradfield Hwy,8.0,8.0,5.0
McLachlan St / Winn St,-27.457825,153.036866,54 - MCLACHLAN ST / WINN ST,54,McLachlan St,Winn St,15.0,8.0,18.0
Alden St / Wickham St,-27.456085,153.03453,55 - ALDEN ST / WICKHAM ST,55,Alden St,Wickham St,8.0,2.0,5.0
Constance St / St Pauls Tce,-27.453717,153.034042,56 - CONSTANCE ST / ST PAULS TCE,56,Constance St,St Pauls Tce,8.0,8.0,5.0
